OBJECTID,ALLEY_TRDA,ALLEY_TR_1,XCNTS_VALU,YDNTS_VALU
174,000052,거북골로16길,192291,453083
175,000055,거북골로2길,192898,453074
176,000228,노해로8가길,202056,459967
177,000246,답십리로21길,204211,453066
178,000254,답십리로69가길,206591,453287
179,000256,당곡2가길,193800,443550
180,000265,당산로32길,191045,447472
181,000268,당산로44길,191269,448084
182,000274,대림로29나길,190833,444056
183,000702,사당로17길,197574,442885
184,000703,사당로23나길,197784,443094
185,000706,사직로12길,197431,452856
186,000708,사직로8길,197775,452646
187,000712,사평대로57길,201889,445411
188,000458,동일로183길,206380,458158
189,000463,동일로193길,206290,458464
190,000466,동일로203가길,205671,460042
191,000468,동일로208길,205822,460477
192,000469,동일로217길,205181,461536
193,000471,동일로228길,205174,463317
194,000141,국회대로52길,191722,447247
195,000026,갈현로3길,191809,455679
196,000030,강남대로107길,201588,446597
197,000032,강남대로89길,201788,445535
198,000278,대사관로24길,200384,448146
199,000284,대학로12길,200342,453422
200,000286,대학로9길,200041,453549
201,000288,대흥로24길,195328,450541
202,000289,덕릉로10길,201394,459296
203,000291,덕릉로119가길,207027,463294
204,000961,신림로28길,194269,441508
205,000963,신림로32길,194429,441725
206,000723,삼양로112길,201501,460361
207,000726,삼양로144길,201442,461308
208,000478,동일로242다길,205047,464009
209,000480,동일로72길,206985,451777
210,000484,동작대로7길,198113,442084
211,000420,동교로18길,192677,450509
212,000034,강남대로97길,201489,446028
213,000035,강동대로9길,210288,447558
214,000002,가락로28길,210349,445231
215,000005,가마산로12길,189625,443667
216,000006,가마산로15길,189761,443862
217,000013,가재울로14길,193030,453032
218,000293,덕릉로126나길,207396,463440
219,000298,덕릉로51길,203049,459779
220,000300,덕릉로59나길,203496,460184
221,000305,덕릉로94길,206769,462523
222,000308,도림로108나길,191428,445425
223,000730,삼양로181길,200433,463749
224,000736,삼양로32가길,201939,457783
225,000764,상봉로11길,208138,454531
226,000770,새창로33길,196658,448588
227,000771,새창로4길,195726,449084
228,000421,동교로38길,193410,451360
229,000427,동산로12길,204085,441256
230,000428,동산로13길,203983,441492
231,000430,동산로2길,203764,441017
232,000437,동소문로35길,201886,455627
233,000064,경인로47다길,188272,444885
234,000066,경인로76길,190639,445719
235,000069,경희대로1길,204477,454713
236,000072,경희대로6길,204731,454845
237,000311,도림로147길,190451,446118
238,000317,도림로61가길,191424,444309
239,000233,논현로5길,204282,441396
240,000234,논현로8길,205445,442881
241,000772,새창로6길,195844,449085
242,000774,서강로11길,194010,450480
243,000776,서경로3길,201237,456186
244,000778,서달로15길,196686,445463
245,000781,서빙고로75길,199711,446965
246,000598,반포대로12길,201100,442808
247,000599,반포대로19길,200780,443101
248,000601,반포대로22길,200901,443246
249,000604,방배로15길,199446,442700
250,000501,디지털로31길,190322,443123
251,000074,고산자로14길,203285,451565
252,000075,고산자로16길,203276,451799
253,000080,고산자로60길,203332,454489
254,000038,강서로18다길,186517,448428
255,000040,강서로45길,185266,449988
256,000235,능동로19길,206362,449710
257,000240,다산로29길,201078,451347
258,000245,다산로8길,200954,450318
259,000322,도봉로10라길,202781,457335
260,000786,서오릉로21길,191850,456533
261,000787,서오릉로2길,193608,455859
262,000788,서오릉로7길,193061,456336
263,000490,두산로13길,190661,441314
264,000359,도신로19길,191160,445346
265,000362,도신로49길,192280,445841
266,000366,도화2길,195584,448773
267,000370,독립문로3길,196498,452356
268,000043,강서로48길,185635,450333
269,000045,강서로74길,186158,451897
270,000213,남현3길,198143,441688
271,000215,남현8길,197818,441574
272,000325,도봉로114길,203248,460876
273,000326,도봉로13가길,202581,457114
