,청년다방,돌배기집
중화동,0,0
증산동,0,0
진관동,0,0
창동,0,0
창성동,0,0
창신동,0,0
창전동,0,0
창천동,0,1
천연동,0,0
천왕동,0,0
천호동,1,0
청담동,0,0
청량리동,0,0
청진동,0,0
청파동1가,0,0
청파동2가,0,0
청파동3가,0,0
체부동,0,0
초동,0,0
충무로1가,0,0
충무로2가,0,0
충무로3가,0,0
충무로4가,0,0
충무로5가,0,0
충정로1가,0,0
충정로2가,0,0
충정로3가,0,0
태평로1가,0,0
태평로2가,0,0
통의동,0,0
통인동,0,0
팔판동,0,0
평동,0,0
평창동,0,0
풍납동,0,0
필동1가,0,0
필동2가,0,0
필동3가,0,0
필운동,0,0
하계동,0,0
하왕십리동,0,0
하월곡동,0,0
한강로1가,0,0
한강로2가,1,0
한강로3가,0,0
한남동,0,0
합동,0,0
합정동,0,0
항동,0,0
행당동,0,0
혜화동,0,0
홍은동,0,0
홍익동,0,0
홍제동,0,0
홍지동,0,0
홍파동,0,0
화곡동,1,0
화동,0,0
화양동,0,0
황학동,0,0
회기동,0,0
회현동1가,0,0
회현동2가,0,0
회현동3가,0,0
효자동,0,0
효제동,0,0
효창동,0,0
후암동,0,0
휘경동,0,0
흑석동,0,0
흥인동,0,0
